Term 1,Term 2,Term 3,Term 4,Term 5,Term 6,Term 7,Term 8,Term 9,Term 10,Term 11,Term 12,Term 13,Term 14,Term 15
beer,ale,porter,stout,lager,pilsner,IPA,craft beer,draft beer,malt beverages,malt liquor,,,,
whiskey,whisky,bourbon,scotch,rye,single malt,blended whiskey,Tennessee whiskey,Irish whiskey,moonshine,,,,,
distilled spirits,liquor,spirits,alcoholic beverages,vodka,gin,rum,tequila,mezcal,brandy,cognac,liqueurs,schnapps,cordials,liqueur
wine,red wine,white wine,sparkling wine,champagne,rosé,table wine,fortified wine,port,sherry,vermouth,fruit wine,mead,,
cider,hard cider,apple cider,perry,pear cider,alcoholic cider,dry cider,,,,,,,,
bar services,bartending services,restaurant services,cocktail lounge services,pub services,tavern services,taproom services,serving of alcoholic beverages,nightclub services,speakeasy services,wine bars,,,,
coffee,espresso,cappuccino,latte,cold brew,iced coffee,decaffeinated coffee,coffee beans,ground coffee,artificial coffee,coffee-based beverages,,,,
tea,green tea,black tea,herbal tea,iced tea,matcha,chai,oolong tea,chamomile tea,loose leaf tea,tea-based beverages,kombucha,,,
soft drinks,soda,pop,carbonated beverages,cola,sparkling water,seltzer,ginger ale,root beer,energy drinks,sports drinks,non-alcoholic beverages,,,
juice,fruit juice,vegetable juice,apple juice,orange juice,cold-pressed juice,smoothies,fruit nectars,fruit punch,non-alcoholic fruit extracts,,,,,
